model,dataset,accuracy,precision,recall,f1,num_examples,neutral_or_dropped_predictions
distilbert_sst2,ai,0.93,1.0,0.86,0.9247311827956989,100,0
distilbert_sst2,human,0.85,0.8888888888888888,0.8,0.8421052631578947,100,0
distilbert_sst2,mixed,0.89,0.9431818181818182,0.83,0.8829787234042553,200,0
twitter_roberta,ai,1.0,1.0,1.0,1.0,99,1
twitter_roberta,human,0.9387755102040817,0.9387755102040817,0.9387755102040817,0.9387755102040817,98,2
twitter_roberta,mixed,0.9695431472081218,0.9693877551020408,0.9693877551020408,0.9693877551020408,197,3
